Image path,Category,Sub category,smile,red eyes,eyes closed,resolution,focus,face direction,brightness faces,hair,Final grade
C:/Users/User/Downloads/x\IMG_0925.JPG,0,0,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0926.JPG,0,0,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0927.JPG,0,2,0,100,0,91,81,62,100,0,53
C:/Users/User/Downloads/x\IMG_0928.JPG,0,2,0,100,50,91,80,62,100,0,60
C:/Users/User/Downloads/x\IMG_0930.JPG,0,2,0,100,100,91,85,100,100,0,74
C:/Users/User/Downloads/x\IMG_0931.JPG,0,2,0,100,0,91,88,100,100,0,59
C:/Users/User/Downloads/x\IMG_0932.JPG,0,2,0,100,100,91,80,100,100,0,74
C:/Users/User/Downloads/x\IMG_0934.JPG,0,2,0,100,0,91,90,100,100,0,59
C:/Users/User/Downloads/x\IMG_0935.JPG,0,2,0,100,0,91,90,100,100,0,59
C:/Users/User/Downloads/x\IMG_0940.JPG,0,2,0,100,0,91,89,53,100,0,52
C:/Users/User/Downloads/x\IMG_0957.JPG,0,2,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0958.JPG,0,2,0,100,100,91,82,100,100,0,74
C:/Users/User/Downloads/x\IMG_0960.JPG,0,2,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0961.JPG,0,2,0,100,50,91,90,100,100,0,67
C:/Users/User/Downloads/x\IMG_0962.JPG,0,2,0,100,50,91,90,100,100,0,67
C:/Users/User/Downloads/x\IMG_0963.JPG,0,2,0,100,50,91,90,100,100,0,67
C:/Users/User/Downloads/x\IMG_0975.JPG,0,2,0,100,100,91,89,100,100,0,74
C:/Users/User/Downloads/x\IMG_0976.JPG,0,2,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0979.JPG,0,2,0,100,50,91,91,100,100,0,67
C:/Users/User/Downloads/x\IMG_0980.JPG,0,2,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_0982.JPG,0,0,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0983.JPG,0,0,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0984.JPG,0,0,0,100,100,91,90,100,100,0,74
C:/Users/User/Downloads/x\IMG_0985.JPG,0,2,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_0986.JPG,0,2,0,100,75,91,91,100,100,0,71
C:/Users/User/Downloads/x\IMG_0987.JPG,0,2,0,100,25,91,91,100,100,0,63
C:/Users/User/Downloads/x\IMG_0993.JPG,0,1,100,100,100,91,91,100,100,100,98
C:/Users/User/Downloads/x\IMG_0994.JPG,0,1,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_0995.JPG,0,1,0,100,100,91,91,100,100,0,75
C:/Users/User/Downloads/x\IMG_0997.JPG,0,1,0,100,0,91,91,68,100,0,55
C:/Users/User/Downloads/x\IMG_0999.JPG,0,1,0,100,100,91,91,66,100,0,69
